t	f	mask
1975.1784941	0.469536070147	True
1975.19892645	0.468490498979	True
1975.21935881	0.469049113365	True
1975.23979116	0.469514339761	True
1975.26022361	0.466413925187	True
1975.28065586	0.468089765331	True
1975.30108821	0.467249011488	True
1975.32152066	0.465720655495	True
1975.34195301	0.465681366298	True
1975.36238525	0.466865282797	True
1975.3828177	0.467687545875	True
1975.40325005	0.464376487091	True
1975.4236823	0.467329151266	True
1975.44411474	0.467338118179	True
1975.46454709	0.465067313177	True
1975.48497953	0.468276095684	True
1975.50541178	0.47117843045	True
1975.52584412	0.468987274307	True
1975.54627657	0.468037494053	True
1975.56670881	0.465874112475	True
1975.58714115	0.464152922358	True
1975.6075735	0.46612461421	True
1975.62800584	0.464179636023	True
1975.64843818	0.464890984852	True
1975.66887052	0.463083222919	True
1975.68930286	0.464821356988	True
1975.7097353	0.465545808719	True
1975.73016754	0.464319884394	True
1975.75059988	0.464776110985	True
1975.77103232	0.464655834986	True
1975.79146455	0.463850903212	True
1975.81189689	0.461693575149	True
1975.83232933	0.462920426792	True
1975.85276156	0.458256578813	True
1975.8731939	0.461541889104	True
1975.89362634	0.459491935915	True
1975.91405867	0.455858268456	True
1975.93449101	0.458724457853	True
1975.95492334	0.455118946476	True
1975.97535567	0.456038862994	True
1975.995788	0.454854271835	True
1976.01622034	0.45497997541	True
1976.03665267	0.453067806829	True
1976.0570851	0.450063958708	True
1976.07751733	0.449219970339	True
1976.09794966	0.454143396829	True
1976.11838209	0.447618372719	True
1976.13881432	0.443682189461	True
1976.15924665	0.443808189198	True
1976.17967908	0.443302071357	True
1976.20011131	0.442838007223	True
1976.22054373	0.441921097478	True
1976.24097606	0.440908708634	True
1976.26140829	0.43832280744	True
1976.28184071	0.440577770736	True
1976.30227304	0.438286642081	True
1976.32270526	0.436868990204	True
1976.34313799	0.500385600525	True
1976.36357031	0.510572948912	True
1976.38400263	0.509550857429	True
1976.40443496	0.507173661542	True
1976.42486728	0.509099311156	True
1976.4452997	0.508667524108	True
1976.46573192	0.507379045509	True
1976.48616424	0.504218411091	True
1976.50659666	0.505458666891	True
1976.52702898	0.505235397597	True
1976.5474612	0.506593503436	True
1976.56789362	0.504376906145	True
1976.58832594	0.502857686985	True
1976.60875816	0.501146853261	True
1976.62919058	0.501911840431	True
1976.64962289	0.499329574278	True
1976.67005511	0.498055392504	True
1976.69048753	0.500011518602	True
1976.71091984	0.49530047546	True
1976.73135206	0.496482264171	True
1976.75178447	0.494588951843	True
1976.77221679	0.494016075571	True
1976.7926492	0.492486559364	True
1976.81308141	0.493459085459	True
1976.83351372	0.493699638068	True
1976.85394614	0.49213114189	True
1976.87437835	0.493133721299	True
1976.89481066	0.492019794576	True
1976.91524307	0.49090524832	True
1976.93567538	0.489654000958	True
1976.95610759	0.489681975744	True
1976.97654	0.489363555543	True
1976.99697231	0.488331596285	True
1977.01740452	0.48675383593	True
1977.03783692	0.486057374954	True
1977.05826913	0.484352465859	True
1977.07870144	0.472494662	True
1977.09913384	0.460566877533	True
1977.11956605	0.459675616753	True
1977.13999845	0.459819504544	True
1977.16043076	0.45959054904	True
1977.18086296	0.459249082801	True
1977.20129537	0.458359405189	True
1977.22172767	0.456911199954	True
1977.24215987	0.948780612752	True
1977.26259227	1.00523932746	False
1977.28302458	1.00526535896	False
1977.30345678	1.00520719656	False
